Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
DL,CVG,JFK,JFK-CVG,40.3823,-73.4644,39.246,-84.3943
DL,CVG,LAS,LAS-CVG,36.449,-115.98,39.246,-84.3943
DL,CVG,LAX,LAX-CVG,33.5633,-118.2429,39.246,-84.3943
DL,CVG,LGA,LGA-CVG,40.4638,-73.5221,39.246,-84.3943
DL,CVG,MCI,MCI-CVG,39.1751,-94.425,39.246,-84.3943
DL,CVG,MCO,MCO-CVG,28.2544,-81.1857,39.246,-84.3943
DL,CVG,MEM,MEM-CVG,35.232,-89.5836,39.246,-84.3943
DL,CVG,MKE,MKE-CVG,42.565,-87.5347,39.246,-84.3943
DL,CVG,MSN,MSN-CVG,43.823,-89.2015,39.246,-84.3943
DL,CVG,MSP,MSP-CVG,44.5249,-93.13,39.246,-84.3943
DL,CVG,MSY,MSY-CVG,29.5936,-90.1528,39.246,-84.3943
DL,CVG,ORD,ORD-CVG,41.5846,-87.5416,39.246,-84.3943
DL,CVG,PHL,PHL-CVG,39.5219,-75.1428,39.246,-84.3943
DL,CVG,PIT,PIT-CVG,40.2929,-80.1358,39.246,-84.3943
DL,CVG,RDU,RDU-CVG,35.5239,-78.4714,39.246,-84.3943
DL,CVG,RIC,RIC-CVG,37.3018,-77.191,39.246,-84.3943
DL,CVG,RSW,RSW-CVG,26.321,-81.4518,39.246,-84.3943
DL,CVG,SFO,SFO-CVG,37.378,-122.2229,39.246,-84.3943
DL,CVG,SLC,SLC-CVG,40.4718,-111.5839,39.246,-84.3943
DL,CVG,STL,STL-CVG,38.4451,-90.2135,39.246,-84.3943
DL,CVG,TPA,TPA-CVG,27.5831,-82.3159,39.246,-84.3943
DL,DAL,ATL,ATL-DAL,33.3825,-84.2537,32.5049,-96.516
DL,DAY,ATL,ATL-DAY,33.3825,-84.2537,39.548,-84.139
DL,DAY,DTW,DTW-DAY,42.1244,-83.2112,39.548,-84.139
DL,DAY,LGA,LGA-DAY,40.4638,-73.5221,39.548,-84.139
DL,DAY,MSP,MSP-DAY,44.5249,-93.13,39.548,-84.139
DL,DCA,ATL,ATL-DCA,33.3825,-84.2537,38.517,-77.215
DL,DCA,CVG,CVG-DCA,39.246,-84.3943,38.517,-77.215
DL,DCA,DTW,DTW-DCA,42.1244,-83.2112,38.517,-77.215
